
scanner data:
  740   774  -615 
-1949   861 -2090 
  325  -343   553 
-1975 -2940  -681 
-2101 -1737 -1609 
-2013   852 -2032 
 -823 -1630   641 
  684 -3017 -1744 
-3283  1720  -727 
-3179   624  -830 
-1961 -1692 -1611 
-2021  1840   674 
 -724 -1719   643 
 -742 -2853 -3165 
 -732 -1679 -3043 
-3180 -2897 -2090 
-3227 -3963  -461 
  480 -1734 -1770 
 -627  -769   479 
-1978 -2966  -692 
 -874   519 -1951 
-2397    81  -129 
  309   881   591 
 -502 -2787 -1879 
-3101 -3918 -1793 
 -540 -1638 -3073 
 -674 -1585   598 
-1775  -431 -2892 
-2103 -2796 -1607 
-2026 -4219 -1948 
-1382 -1174 -1338 
-2057  -355 -1668 
 -630  -729  -519 
-2970 -2844 -2082 
  412  -468  -827 
-1707  -458   793 
  406 -1797  -526 
-2530    10   -13 
  413   943   530 
  401 -2643  -719 
-2392 -1199  -179 
-2014 -2821 -1659 
 -818   745   486 
-1981 -2914  -761 
  -67 -1098   -32 
-2514 -3505 -1224 
  554 -3003 -1790 
 -921 -3192  -653 
-2183 -4262 -1970 
  336   928   466 
-3132 -1972 -1662 
-3132 -1831 -1687 
 -987   655 -1938 
-3226 -1852   291 
 -548  -779   374 
 -163 -1204  -165 
-1913 -1455   618 
-1787  -427  -533 
-1914   543  -747 
 -489  -484 -1682 
 -773   645   541 
 -501 -2889 -2067 
-1939 -2735 -1669 
-3231 -1904 -1615 
-3302  1680   237 
-1864 -1506  -876 
-3303   776   776 

scanner data:
-1777 -4169 -3285 
-1949   861 -2090 
-1775  -431 -2892 
-1902 -1427  -880 
-1323 -2220 -2588 
-1913 -1455   618 
-3246 -2697 -3208 
-1293   148   -98 
-1720 -3179 -2830 
-2007  -433 -1630 
 -553 -1773 -3060 
-1192   126 -1343 
-2101 -1737 -1609 
-3132 -1972 -1662 
 -674 -1585   598 
 -535  -664 -3184 
 -635  -615   362 
 -630  -729  -519 
-2514 -3505 -1224 
-2533 -3584 -2526 
-1896  1800  -889 
-3180 -2897 -2090 
  401 -2643  -719 
-3227 -3963  -461 
-2481 -3419 -2430 
-2057  -355 -1668 
-1902  -496   749 
-1390 -1155 -2414 
-1801 -4237 -3222 
-2397    81  -129 
-2970 -2844 -2082 
  -65   111  -185 
-1966 -3941  -737 
  405  -470   568 
-1793  -569   728 
 -835 -2958 -3216 
 -584  -711 -3224 
-2103 -2796 -1607 
  554 -3003 -1790 
-2392 -1199  -179 
 -742 -2853 -3165 
-1926   686  -867 
-3283  1720  -727 
-1382 -1174 -1338 
 -591 -2853 -1904 
  413   943   530 
 -637 -1757  -402 
-3303   776   776 
 -627  -769   479 
 -823 -1630   641 
-2569  1353   -22 
-3097 -3907 -1856 
-2519 -2378 -1223 
  440  -583  -974 
-1996 -3930  -772 
 -190 -2212 -1258 
-3004 -4306 -2877 
-3100 -3012  -451 
-1985  2013   713 
 -548  -779   374 
 -852   515  -489 
-2901  -399   571 
-3036 -1742  -654 
-3148 -3038  -669 
-1752 -3163 -2912 
-2013   852 -2032 
-3033  -435   447 
-1851 -1502   551 
-2125 -4280 -1998 
-1871   874 -2097 
-2445 -2279 -1353 
 -724 -1719   643 
 -987   655 -1938 
 -163 -1204  -165 
-3074 -2948 -2081 
  672 -1640   563 
-1884  -407 -2867 
-2392 -3450 -1357 
-1968  1846   606 
-2134 -1739 -2909 
  319 -1736  -502 
-1861   667   756 
  726   706  -708 
  501 -1835 -1932 
-3306  1650  -717 
-1975 -2940  -681 
-3179   624  -830 
-3328 -1944   311 
  480 -1734 -1770 
 -990 -1938 -1963 
-1218 -2338 -2437 
 -790  -808  -512 
 -963   477  -487 
 -970 -1880 -1871 
-3212  -248  -704 
-3183 -1801  -698 
 -744 -1746  -537 
-1961 -1692 -1611 
  636 -3033 -1768 
-1951  1855  -842 
 -750   754   404 
-3020  -477   656 
  651 -1617   447 
  309   881   591 
-3101 -3918 -1793 
  740   774  -615 
-2026 -4219 -1948 
-2014 -2821 -1659 
 -921 -3192  -653 
-2183 -4262 -1970 
-1995 -3956  -527 
-3276 -1751  -678 
-3234 -3892  -631 
-3255 -3931  -615 
 -753 -1905  -421 
-3231 -1904 -1615 
-2399  1386  -158 
-1864 -1506  -876 
  349 -1621  -559 
-1981 -2914  -761 
  753   808  -605 
-2021  1840   674 
 -502 -2787 -1879 
 -918 -3120  -434 
  -55 -2403 -1283 
-3270  -308  -670 
-2563 -1104   -48 
 -876 -1896 -1873 
  -67 -1098   -32 
 -773   645   541 
 -501 -2889 -2067 
-1243 -1093 -2566 
-3103 -4276 -3033 
-2995 -4257 -3095 
-1758  -295  -663 
-1914   543  -747 
-3226 -1852   291 
-1848 -1523   469 
-2058   707   714 
-1306    56 -1209 
-1756  -284  -455 
 -818   745   486 
  543 -2665  -629 
-3292   683   720 
-1794  1844  -932 
 -552  -643 -3156 
-3244 -2672 -3121 
  684 -3017 -1744 
-3132 -1831 -1687 
-3145   826  -823 
-2530    10   -13 
 -805   510  -451 
-3155   762   653 
-2103 -1700 -1603 
  325  -343   553 
-3214  1750   273 
  352  -454  -949 
 -497  -242 -1678 
-1977   655  -755 
-3133  1664   259 
-3185  -364  -589 
 -903   601 -1893 
-1629 -3042 -2859 
  532 -2612  -810 
-1909 -1463  -826 
 -732 -1679 -3043 
-1978 -2966  -692 
-1880  -414 -2909 
-3157   678  -834 
 -712 -2906 -3172 
-2014  -377 -1707 
 -189    61   -45 
 -489  -484 -1682 
-1212 -1074 -1209 
-1939 -2735 -1669 
  336   928   466 
-3302  1680   237 
-1793 -4004 -3217 
-3326 -2659 -3165 
-3082 -3856 -2010 
-3028 -2952  -595 
-2011 -1793 -2936 
-3280  1668  -542 
-2046 -1732 -2923 
 -509  -413 -1692 
  385  -361   405 
 -706  -757  -430 
-3338 -1918   365 
 -540 -1638 -3073 
-1983   666   700 
 -887 -3194  -525 
  412  -468  -827 
-1787  -427  -533 
 -874   519 -1951 
  645 -1471   521 
  526 -1808 -1920 
-1707  -458   793 
  406 -1797  -526 

scanner data:
-3033  -435   447 
 -497  -242 -1678 
-2392 -3450 -1357 
-3280  1668  -542 
  624 -4300 -1723 
  480 -1734 -1770 
-2057  -355 -1668 
 -744 -1746  -537 
-1966 -3941  -737 
-1243 -1093 -2566 
  651 -1617   447 
-1983   666   700 
-3148 -3038  -669 
-2481 -3419 -2430 
 -420 -4119 -1932 
-2007  -433 -1630 
-3246 -2697 -3208 
-3212  -248  -704 
-2026 -4219 -1948 
  645 -1471   521 
-1801 -4237 -3222 
-1880  -414 -2909 
 -630  -729  -519 
-2399  1386  -158 
  636 -3033 -1768 
 -163 -1204  -165 
-1902 -1427  -880 
-1794  1844  -932 
-1323 -2220 -2588 
-1914   543  -747 
  661 -4326 -1698 
-1949   861 -2090 
 -899 -3839  -438 
-2021  1840   674 
-1390 -1155 -2414 
-1720 -3179 -2830 
  413   943   530 
-3227 -3963  -461 
 -627  -769   479 
-1756  -284  -455 
-3255 -3931  -615 
-1864 -1506  -876 
 -540 -1638 -3073 
 -712 -2906 -3172 
-3132 -1972 -1662 
-3234 -3892  -631 
-2103 -1700 -1603 
 -190 -2212 -1258 
 -750   754   404 
  325  -343   553 
-3292   683   720 
  532 -2612  -810 
-1793 -4004 -3217 
  519 -3999  -756 
  405  -470   568 
-3074 -2948 -2081 
-1951  1855  -842 
-1977   655  -755 
 -489  -484 -1682 
-3231 -1904 -1615 
-1913 -1455   618 
-3028 -2952  -595 
-2014 -2821 -1659 
-1861   667   756 
 -903   601 -1893 
-3082 -3856 -2010 
 -823 -1630   641 
-2392 -1199  -179 
-3270  -308  -670 
-1896  1800  -889 
-1926   686  -867 
-3100 -3012  -451 
-1382 -1174 -1338 
-1848 -1523   469 
-3132 -1831 -1687 
 -799 -3894  -570 
-3133  1664   259 
 -674 -1585   598 
-1902  -496   749 
  -67 -1098   -32 
-1851 -1502   551 
-1306    56 -1209 
 -835 -2958 -3216 
-3185  -364  -589 
-3157   678  -834 
-3180 -2897 -2090 
 -852   515  -489 
  543 -2665  -629 
  412  -468  -827 
-1985  2013   713 
-2533 -3584 -2526 
 -990 -1938 -1963 
-2058   707   714 
  440  -583  -974 
-3183 -1801  -698 
-3283  1720  -727 
-1981 -2914  -761 
-1975 -2940  -681 
 -151 -3503 -1269 
 -724 -1719   643 
-2134 -1739 -2909 
-3226 -1852   291 
 -591 -2853 -1904 
-1961 -1692 -1611 
-3155   762   653 
-3326 -2659 -3165 
-3328 -1944   311 
-3276 -1751  -678 
  554 -3003 -1790 
  684 -3017 -1744 
-1293   148   -98 
 -548  -779   374 
 -732 -1679 -3043 
-2014  -377 -1707 
 -506 -4074 -2066 
-2125 -4280 -1998 
 -742 -2853 -3165 
-1629 -3042 -2859 
 -970 -1880 -1871 
-1996 -3930  -772 
-3306  1650  -717 
  753   808  -605 
 -637 -1757  -402 
-1939 -2735 -1669 
 -918 -3120  -434 
  -65   111  -185 
 -189    61   -45 
 -818   745   486 
-3214  1750   273 
 -874   519 -1951 
  -10 -3454 -1387 
-1192   126 -1343 
  309   881   591 
-2445 -2279 -1353 
  740   774  -615 
-2103 -2796 -1607 
 -887 -3194  -525 
 -773   645   541 
 -535  -664 -3184 
-2970 -2844 -2082 
 -552  -643 -3156 
-1775  -431 -2892 
-3101 -3918 -1793 
 -706  -757  -430 
-1777 -4169 -3285 
-2901  -399   571 
-3020  -477   656 
-2397    81  -129 
-2183 -4262 -1970 
  352  -454  -949 
-2011 -1793 -2936 
  726   706  -708 
-1995 -3956  -527 
 -876 -1896 -1873 
 -805   510  -451 
 -753 -3822  -551 
 -553 -1773 -3060 
-1968  1846   606 
  349 -1621  -559 
-3036 -1742  -654 
  319 -1736  -502 
-2569  1353   -22 
 -753 -1905  -421 
 -584  -711 -3224 
-3303   776   776 
-1758  -295  -663 
-3244 -2672 -3121 
  385  -361   405 
-3103 -4276 -3033 
  542 -4126  -756 
-1793  -569   728 
  501 -1835 -1932 
 -635  -615   362 
  672 -1640   563 
 -790  -808  -512 
 -963   477  -487 
 -502 -2787 -1879 
-3145   826  -823 
  336   928   466 
-3302  1680   237 
-2514 -3505 -1224 
  401 -2643  -719 
-2101 -1737 -1609 
-1787  -427  -533 
 -509  -413 -1692 
-1871   874 -2097 
-3338 -1918   365 
-3179   624  -830 
-1212 -1074 -1209 
-3004 -4306 -2877 
  -55 -2403 -1283 
-1752 -3163 -2912 
 -501 -2889 -2067 
-1218 -2338 -2437 
-1909 -1463  -826 
-1978 -2966  -692 
  526 -1808 -1920 
  406 -1797  -526 
-2013   852 -2032 
-2563 -1104   -48 
 -528 -3999 -1930 
  567 -3972  -818 
-2519 -2378 -1223 
-2995 -4257 -3095 
-2530    10   -13 
-1884  -407 -2867 
-2046 -1732 -2923 
-1707  -458   793 
 -987   655 -1938 
  789 -4307 -1822 
-3097 -3907 -1856 
 -921 -3192  -653 

scanner data:
  526 -1808 -1920 
-1720 -3179 -2830 
-1243 -1093 -2566 
  336   928   466 
 -921 -3192  -653 
-4289 -1701 -1957 
-2514 -3505 -1224 
-4268 -2889  -758 
  412  -468  -827 
 -876 -1896 -1873 
-1777 -4169 -3285 
  519 -3999  -756 
  636 -3033 -1768 
  440  -583  -974 
 -732 -1679 -3043 
-2183 -4262 -1970 
 -823 -1630   641 
-4292 -1685 -1966 
 -489  -484 -1682 
-2569  1353   -22 
-1996 -3930  -772 
  543 -2665  -629 
-1966 -3941  -737 
 -899 -3839  -438 
 -874   519 -1951 
-1756  -284  -455 
  661 -4326 -1698 
  349 -1621  -559 
 -852   515  -489 
  501 -1835 -1932 
-1978 -2966  -692 
 -987   655 -1938 
 -750   754   404 
-2563 -1104   -48 
-4247 -1537  -557 
-1775  -431 -2892 
  740   774  -615 
-4233 -1755 -2071 
-3185  -364  -589 
-3132 -1972 -1662 
-3283  1720  -727 
-3132 -1831 -1687 
-1382 -1174 -1338 
-1902  -496   749 
-3270  -308  -670 
-3292   683   720 
-3255 -3931  -615 
 -918 -3120  -434 
-2103 -2796 -1607 
-1896  1800  -889 
-2399  1386  -158 
-1926   686  -867 
  532 -2612  -810 
-3145   826  -823 
-1864 -1506  -876 
-2011 -1793 -2936 
-3082 -3856 -2010 
-2057  -355 -1668 
  325  -343   553 
 -805   510  -451 
 -190 -2212 -1258 
-1902 -1427  -880 
 -535  -664 -3184 
-3036 -1742  -654 
-4273 -1456  -743 
 -706  -757  -430 
  385  -361   405 
 -790  -808  -512 
-2134 -1739 -2909 
 -744 -1746  -537 
 -712 -2906 -3172 
 -635  -615   362 
-1983   666   700 
  405  -470   568 
 -799 -3894  -570 
  645 -1471   521 
 -497  -242 -1678 
-2397    81  -129 
  352  -454  -949 
-3231 -1904 -1615 
-3180 -2897 -2090 
-4313 -1624  -700 
 -724 -1719   643 
-1961 -1692 -1611 
  480 -1734 -1770 
-1884  -407 -2867 
  401 -2643  -719 
 -151 -3503 -1269 
-1758  -295  -663 
-2046 -1732 -2923 
-3020  -477   656 
-1995 -3956  -527 
-1861   667   756 
-3227 -3963  -461 
-3103 -4276 -3033 
-1949   861 -2090 
 -903   601 -1893 
-2013   852 -2032 
  789 -4307 -1822 
-4309 -2906 -1826 
-3338 -1918   365 
 -963   477  -487 
-2392 -3450 -1357 
 -630  -729  -519 
  413   943   530 
-1707  -458   793 
-3101 -3918 -1793 
  624 -4300 -1723 
-2519 -2378 -1223 
 -835 -2958 -3216 
-2101 -1737 -1609 
-1848 -1523   469 
 -674 -1585   598 
-1851 -1502   551 
-3157   678  -834 
-2125 -4280 -1998 
 -584  -711 -3224 
-3179   624  -830 
 -887 -3194  -525 
-1793 -4004 -3217 
-1323 -2220 -2588 
  406 -1797  -526 
-3280  1668  -542 
  542 -4126  -756 
 -990 -1938 -1963 
 -753 -3822  -551 
-2103 -1700 -1603 
 -501 -2889 -2067 
-2026 -4219 -1948 
-2014  -377 -1707 
 -506 -4074 -2066 
 -637 -1757  -402 
  -10 -3454 -1387 
-3100 -3012  -451 
  753   808  -605 
 -189    61   -45 
-3148 -3038  -669 
-3183 -1801  -698 
 -548  -779   374 
-3028 -2952  -595 
-1752 -3163 -2912 
  554 -3003 -1790 
-1880  -414 -2909 
 -627  -769   479 
 -420 -4119 -1932 
-3133  1664   259 
 -553 -1773 -3060 
 -540 -1638 -3073 
 -528 -3999 -1930 
-2392 -1199  -179 
-3214  1750   273 
-3074 -2948 -2081 
-3004 -4306 -2877 
-2007  -433 -1630 
  309   881   591 
-1801 -4237 -3222 
 -552  -643 -3156 
-3303   776   776 
 -818   745   486 
  -67 -1098   -32 
-1794  1844  -932 
-3246 -2697 -3208 
-2058   707   714 
-3276 -1751  -678 
-3244 -2672 -3121 
-1968  1846   606 
 -591 -2853 -1904 
 -753 -1905  -421 
 -970 -1880 -1871 
-4432 -2910 -1916 
-3702 -2311 -1331 
-1212 -1074 -1209 
-1793  -569   728 
-3155   762   653 
  726   706  -708 
-1787  -427  -533 
-2481 -3419 -2430 
-2530    10   -13 
  651 -1617   447 
-2021  1840   674 
 -742 -2853 -3165 
-2445 -2279 -1353 
 -502 -2787 -1879 
  -55 -2403 -1283 
  567 -3972  -818 
-2014 -2821 -1659 
  672 -1640   563 
-3326 -2659 -3165 
-1951  1855  -842 
-3234 -3892  -631 
-1913 -1455   618 
-1629 -3042 -2859 
-1192   126 -1343 
-1975 -2940  -681 
-3302  1680   237 
-1981 -2914  -761 
-1390 -1155 -2414 
-3226 -1852   291 
-2533 -3584 -2526 
-1306    56 -1209 
  319 -1736  -502 
-1909 -1463  -826 
-3306  1650  -717 
-2995 -4257 -3095 
-1939 -2735 -1669 
-1293   148   -98 
-3212  -248  -704 
-1985  2013   713 
-1218 -2338 -2437 
-4357 -2894  -836 
  684 -3017 -1744 
-2901  -399   571 
-1871   874 -2097 
-3033  -435   447 
-1977   655  -755 
-3328 -1944   311 
 -163 -1204  -165 
  -65   111  -185 
-3097 -3907 -1856 
 -509  -413 -1692 
-2970 -2844 -2082 
-4252 -2949  -931 
-1914   543  -747 
-4417 -2863 -1888 
 -773   645   541 

scanner data:
 -512  -248 -4036 
 -535  -664 -3184 
-2085  -598 -4298 
-3103 -4276 -3033 
 -506 -4074 -2066 
  543 -2665  -629 
-3036 -1742  -654 
 -790  -808  -512 
-3133  1664   259 
-2183 -4262 -1970 
 -724 -1719   643 
-1995 -3956  -527 
-3028 -2952  -595 
-3180 -2897 -2090 
-1864 -1506  -876 
-3214  1750   273 
-1871   874 -2097 
-3244 -2672 -3121 
-2481 -3419 -2430 
-2533 -3584 -2526 
-3101 -3918 -1793 
-2399  1386  -158 
-3234 -3892  -631 
-3179   624  -830 
 -899 -3839  -438 
-2046 -1732 -2923 
  554 -3003 -1790 
-3338 -1918   365 
 -876 -1896 -1873 
  440  -583  -974 
-1926   686  -867 
-2103 -1700 -1603 
-1212 -1074 -1209 
  349 -1621  -559 
-3020  -477   656 
-1861   667   756 
-3100 -3012  -451 
-1777 -4169 -3285 
-3226 -1852   291 
-1676 -1798 -4295 
  726   706  -708 
 -744 -1746  -537 
-2397    81  -129 
 -773   645   541 
  740   774  -615 
  645 -1471   521 
 -822 -1692 -4382 
 -627  -769   479 
-3270  -308  -670 
  325  -343   553 
  532 -2612  -810 
  405  -470   568 
-3303   776   776 
-1968  1846   606 
-2901  -399   571 
-1787  -427  -533 
 -799 -3894  -570 
-3227 -3963  -461 
-2026 -4219 -1948 
 -591 -2853 -1904 
-1793  -569   728 
 -540 -1638 -3073 
-3328 -1944   311 
 -874   519 -1951 
-4432 -2910 -1916 
 -502 -2787 -1879 
-1218 -2338 -2437 
 -497  -242 -1678 
 -189    61   -45 
-3148 -3038  -669 
-4233 -1755 -2071 
 -732 -1679 -3043 
-1949   861 -2090 
 -420 -4119 -1932 
-2021  1840   674 
-3097 -3907 -1856 
-1192   126 -1343 
-2103 -2796 -1607 
-1902  -496   749 
-1896  1800  -889 
-1758  -295  -663 
-1793 -4004 -3217 
-3004 -4306 -2877 
  651 -1617   447 
  352  -454  -949 
-3326 -2659 -3165 
-4252 -2949  -931 
  519 -3999  -756 
 -190 -2212 -1258 
-3145   826  -823 
-4357 -2894  -836 
-1671 -1863 -4093 
 -805   510  -451 
  401 -2643  -719 
-2014  -377 -1707 
-3302  1680   237 
-1939 -2735 -1669 
-2072  -615 -4355 
  636 -3033 -1768 
-2445 -2279 -1353 
  542 -4126  -756 
  526 -1808 -1920 
 -750   754   404 
-1985  2013   713 
-3157   678  -834 
-1629 -3042 -2859 
-3306  1650  -717 
  406 -1797  -526 
-1966 -3941  -737 
-2995 -4257 -3095 
 -576  -278 -4232 
-2514 -3505 -1224 
 -501 -2889 -2067 
-1218 -1041 -3596 
  385  -361   405 
  567 -3972  -818 
-3212  -248  -704 
  684 -3017 -1744 
-2530    10   -13 
  624 -4300 -1723 
 -742 -2853 -3165 
 -552  -643 -3156 
-3033  -435   447 
-3155   762   653 
-1390 -1155 -2414 
-2563 -1104   -48 
 -814 -1725 -4563 
 -635  -615   362 
-1983   666   700 
 -918 -3120  -434 
-2011 -1793 -2936 
 -963   477  -487 
 -835 -2958 -3216 
 -637 -1757  -402 
  309   881   591 
  -55 -2403 -1283 
 -553 -1773 -3060 
-3255 -3931  -615 
-4247 -1537  -557 
-3185  -364  -589 
-1243 -1093 -2566 
 -823 -1630   641 
-2519 -2378 -1223 
-1975 -2940  -681 
 -712 -2906 -3172 
-4273 -1456  -743 
-3183 -1801  -698 
-1752 -3163 -2912 
 -697 -1778 -4448 
 -970 -1880 -1871 
-2013   852 -2032 
-4292 -1685 -1966 
-3702 -2311 -1331 
 -489  -484 -1682 
  661 -4326 -1698 
-1978 -2966  -692 
 -921 -3192  -653 
-1848 -1523   469 
  672 -1640   563 
-1293   148   -98 
-1382 -1174 -1338 
-3292   683   720 
-2007  -433 -1630 
-1914   543  -747 
-2125 -4280 -1998 
-1951  1855  -842 
-4309 -2906 -1826 
-1775  -431 -2892 
 -753 -3822  -551 
-1961 -1692 -1611 
 -474  -230 -4205 
-3276 -1751  -678 
 -509  -413 -1692 
-2099  -515 -4198 
 -151 -3503 -1269 
 -584  -711 -3224 
  412  -468  -827 
-2569  1353   -22 
-2014 -2821 -1659 
-2058   707   714 
 -903   601 -1893 
-1756  -284  -455 
-1323 -2220 -2588 
-2057  -355 -1668 
  753   808  -605 
 -818   745   486 
-1380 -1118 -3680 
-1996 -3930  -772 
-3231 -1904 -1615 
  501 -1835 -1932 
 -163 -1204  -165 
-3074 -2948 -2081 
-2970 -2844 -2082 
-3082 -3856 -2010 
 -706  -757  -430 
-1720 -3179 -2830 
-4289 -1701 -1957 
-4313 -1624  -700 
-3246 -2697 -3208 
-1801 -4237 -3222 
-2101 -1737 -1609 
-1909 -1463  -826 
-1681 -1736 -4210 
-3280  1668  -542 
  -65   111  -185 
 -990 -1938 -1963 
-4417 -2863 -1888 
-2392 -3450 -1357 
 -852   515  -489 
-2392 -1199  -179 
  319 -1736  -502 
-3132 -1972 -1662 
-2134 -1739 -2909 
  -67 -1098   -32 
 -674 -1585   598 
-1851 -1502   551 
  413   943   530 
-4268 -2889  -758 
-1884  -407 -2867 
-3283  1720  -727 
-1794  1844  -932 
-1981 -2914  -761 
  480 -1734 -1770 
-1707  -458   793 
  -10 -3454 -1387 
 -887 -3194  -525 
 -548  -779   374 
-1902 -1427  -880 
 -528 -3999 -1930 
  789 -4307 -1822 
-1913 -1455   618 
  336   928   466 
-1880  -414 -2909 
 -987   655 -1938 
-3132 -1831 -1687 
 -630  -729  -519 
 -753 -1905  -421 
-1306    56 -1209 
-1977   655  -755 

scanner data:
-3246 -2697 -3208 
-1681 -1736 -4210 
-1995 -3956  -527 
  526 -1808 -1920 
-1961 -1692 -1611 
-1983   666   700 
-1985  2013   713 
 -189    61   -45 
-3255 -3931  -615 
 -506 -4074 -2066 
-2183 -4262 -1970 
-1793  -569   728 
 -635  -615   362 
  405  -470   568 
-1293   148   -98 
  325  -343   553 
-1951  1855  -842 
-1629 -3042 -2859 
-3276 -1751  -678 
  -10 -3454 -1387 
 -987   655 -1938 
  561  -462 -1804 
-2533 -3584 -2526 
-3227 -3963  -461 
 -502 -2787 -1879 
-1218 -1041 -3596 
-1752 -3163 -2912 
  425  -478 -1828 
 -744 -1746  -537 
  401 -2643  -719 
 -627  -769   479 
-1949   861 -2090 
-1382 -1174 -1338 
-1306    56 -1209 
 -540 -1638 -3073 
-1884  -407 -2867 
 -637 -1757  -402 
  740   774  -615 
-1978 -2966  -692 
 -489  -484 -1682 
-1775  -431 -2892 
-1243 -1093 -2566 
 -918 -3120  -434 
-1981 -2914  -761 
  519 -3999  -756 
 -697 -1778 -4448 
 -591 -2853 -1904 
-3702 -2311 -1331 
 -163 -1204  -165 
 -176 -1207 -1360 
 -814 -1725 -4563 
-4289 -1701 -1957 
-1902 -1427  -880 
-1793 -4004 -3217 
-1707  -458   793 
  460  -356 -1821 
 -151 -3503 -1269 
  753   808  -605 
-2397    81  -129 
-2399  1386  -158 
-1864 -1506  -876 
 -535  -664 -3184 
-2563 -1104   -48 
-3183 -1801  -698 
 -584  -711 -3224 
-3180 -2897 -2090 
-3097 -3907 -1856 
-3212  -248  -704 
-1977   655  -755 
-2101 -1737 -1609 
 -899 -3839  -438 
-3155   762   653 
-1676 -1798 -4295 
  440  -583  -974 
-1902  -496   749 
-3145   826  -823 
 -553 -1773 -3060 
-1880  -414 -2909 
-3226 -1852   291 
-4273 -1456  -743 
  352  -454  -949 
-2970 -2844 -2082 
-3028 -2952  -595 
 -874   519 -1951 
  385  -361   405 
-1794  1844  -932 
-3270  -308  -670 
-3132 -1972 -1662 
 -706  -757  -430 
  -55 -2403 -1283 
 -630  -729  -519 
-3306  1650  -717 
  684 -3017 -1744 
  413   943   530 
  636 -3033 -1768 
-3033  -435   447 
-2569  1353   -22 
-3132 -1831 -1687 
-3133  1664   259 
-3214  1750   273 
  726   706  -708 
-1968  1846   606 
  -67 -1098   -32 
-2103 -1700 -1603 
 -501 -2889 -2067 
-1909 -1463  -826 
-2014 -2821 -1659 
-1801 -4237 -3222 
-1966 -3941  -737 
-4233 -1755 -2071 
-4292 -1685 -1966 
  406 -1797  -526 
-2392 -3450 -1357 
-3004 -4306 -2877 
-2011 -1793 -2936 
  349 -1621  -559 
  412  -468  -827 
 -753 -1905  -421 
 -512  -248 -4036 
-1380 -1118 -3680 
-1218 -2338 -2437 
 -750   754   404 
  651 -1617   447 
-4268 -2889  -758 
-1926   686  -867 
-1323 -2220 -2588 
 -674 -1585   598 
-4417 -2863 -1888 
-2013   852 -2032 
-2901  -399   571 
 -823 -1630   641 
-3082 -3856 -2010 
  672 -1640   563 
-3157   678  -834 
-2125 -4280 -1998 
 -790  -808  -512 
-1896  1800  -889 
-1871   874 -2097 
 -576  -278 -4232 
-3074 -2948 -2081 
-2007  -433 -1630 
-3328 -1944   311 
-1913 -1455   618 
  543 -2665  -629 
-1758  -295  -663 
-3292   683   720 
-2099  -515 -4198 
 -876 -1896 -1873 
-2014  -377 -1707 
 -724 -1719   643 
-1192   126 -1343 
-3234 -3892  -631 
-2134 -1739 -2909 
 -742 -2853 -3165 
-1720 -3179 -2830 
-3148 -3038  -669 
 -732 -1679 -3043 
  624 -4300 -1723 
  532 -2612  -810 
 -887 -3194  -525 
-1975 -2940  -681 
 -528 -3999 -1930 
-4309 -2906 -1826 
 -963   477  -487 
-1390 -1155 -2414 
  661 -4326 -1698 
-2057  -355 -1668 
-3283  1720  -727 
-1777 -4169 -3285 
-3244 -2672 -3121 
  -46 -1082 -1297 
-4313 -1624  -700 
-2519 -2378 -1223 
 -509  -413 -1692 
 -970 -1880 -1871 
-2481 -3419 -2430 
-2046 -1732 -2923 
-1671 -1863 -4093 
-1851 -1502   551 
-2995 -4257 -3095 
-2530    10   -13 
-1914   543  -747 
-3185  -364  -589 
 -753 -3822  -551 
-2072  -615 -4355 
-4252 -2949  -931 
-3100 -3012  -451 
 -921 -3192  -653 
  501 -1835 -1932 
-3103 -4276 -3033 
-2026 -4219 -1948 
 -190 -2212 -1258 
 -474  -230 -4205 
-3020  -477   656 
  319 -1736  -502 
-1756  -284  -455 
  567 -3972  -818 
 -818   745   486 
 -822 -1692 -4382 
-3302  1680   237 
  309   881   591 
  554 -3003 -1790 
 -773   645   541 
 -712 -2906 -3172 
-3280  1668  -542 
 -497  -242 -1678 
 -835 -2958 -3216 
  542 -4126  -756 
-2514 -3505 -1224 
 -852   515  -489 
-1939 -2735 -1669 
 -420 -4119 -1932 
-3101 -3918 -1793 
 -903   601 -1893 
-1861   667   756 
-2085  -598 -4298 
 -548  -779   374 
 -552  -643 -3156 
-3036 -1742  -654 
-1996 -3930  -772 
 -805   510  -451 
  480 -1734 -1770 
-3326 -2659 -3165 
-3179   624  -830 
-2103 -2796 -1607 
-4247 -1537  -557 
-4357 -2894  -836 
-1212 -1074 -1209 
-2445 -2279 -1353 
-1787  -427  -533 
-2021  1840   674 
  789 -4307 -1822 
  -65   111  -185 
-2392 -1199  -179 
-3303   776   776 
  336   928   466 
-3338 -1918   365 
 -799 -3894  -570 
-3231 -1904 -1615 
-1848 -1523   469 
 -990 -1938 -1963 
  645 -1471   521 
-4432 -2910 -1916 
-2058   707   714 

scanner data:
-1192   126 -1343 
-3183 -1801  -698 
-2569  1353   -22 
-3157   678  -834 
 -489  -484 -1682 
  413   943   530 
 -822 -1692 -4382 
-4247 -1537  -557 
 -921 -3192  -653 
  684 -3017 -1744 
  405  -470   568 
-1978 -2966  -692 
  460  -356 -1821 
 -818   745   486 
 -553 -1773 -3060 
  480 -1734 -1770 
  532 -2612  -810 
-3702 -2311 -1331 
 -584  -711 -3224 
-1306    56 -1209 
 -753 -1905  -421 
-3148 -3038  -669 
-3326 -2659 -3165 
